ds,yhat,yhat_lower,yhat_upper
6/1/2017,1581364.3536414094,1577078.972106113,1585277.6837096768
7/1/2017,1575742.5755138139,1571490.751,1579761.6482994456
8/1/2017,1570206.6874646805,1566087.3289471937,1574278.2747172806
9/1/2017,1566347.5528836974,1562447.1571047006,1570665.0588461605
10/1/2017,1564241.197710516,1560048.3442315592,1568438.0510787067
11/1/2017,1570077.386657481,1565986.4507459544,1574059.5832607648
12/1/2017,1569249.6261758348,1564840.7646101739,1573451.484330664
1/1/2018,1573453.8669307153,1569376.0276582649,1577533.3512368812
2/1/2018,1578764.1999504159,1574736.222883412,1582571.242244265
3/1/2018,1578882.958963566,1575085.5515465648,1583210.563693625
4/1/2018,1577023.9819189298,1572889.7669625306,1581123.0126057456
5/1/2018,1576972.9228810256,1572530.787047672,1580848.8522266038
6/1/2018,1574770.3572053923,1570467.4578639104,1578598.2797602601
7/1/2018,1571675.3722388274,1567617.8160783674,1575758.316590006
8/1/2018,1560031.0335955643,1555807.005222074,1563982.4449547138
9/1/2018,1550317.681454077,1546280.2391917247,1554712.7736741838
10/1/2018,1539143.9332960437,1535023.9556414636,1543235.0996685135
11/1/2018,1534466.216406725,1530410.5371076101,1538501.6635035127
12/1/2018,1525515.277911221,1521386.002,1529607.317151642
1/1/2019,1520129.9477937354,1516062.0502057103,1524147.517257087
2/1/2019,1517580.7414363602,1513549.159996782,1521497.8133887954
3/1/2019,1514792.8684944867,1510504.4481873338,1518647.338246475
4/1/2019,1506787.3140352415,1503054.7569789682,1511003.740131622
5/1/2019,1506594.0598872053,1502362.4022926951,1510922.3323003189
6/1/2019,1501822.6113534241,1497751.6700973902,1505733.469502099
7/1/2019,1495829.7568444554,1491585.9823751496,1499734.925559087
8/1/2019,1487656.2856434747,1483350.0657487542,1491842.377629011
9/1/2019,1485843.3314898242,1481462.0557449223,1490150.9786294806
10/1/2019,1478857.7411855077,1474773.8999261046,1483422.2579391294
11/1/2019,1478135.7100920016,1473995.8498438906,1482477.2306367473
12/1/2019,1475057.2782354383,1470884.7125420633,1479390.418
1/1/2020,1473298.4785012135,1469268.1187270002,1477381.6871634899
2/1/2020,1476107.2051710042,1471954.178625663,1480374.3602911588
3/1/2020,1470066.1177196803,1465996.1894114842,1474257.8279573787
4/1/2020,1498239.3713302233,1494514.4399686272,1502534.177366966
5/1/2020,1515605.5215269355,1511556.7646958232,1519493.798
6/1/2020,1541512.8999702136,1537327.8995587009,1545961.989204299
7/1/2020,1565085.4339742858,1560972.2917669239,1569122.7185371341
8/1/2020,1590925.9215125656,1586724.2888632913,1595050.9735885018
9/1/2020,1609701.8140741677,1605339.1239896112,1613822.069099553
10/1/2020,1632843.2543683734,1628572.4395148566,1636898.0510045493
11/1/2020,1654460.2406046255,1650188.3158925325,1658812.944164899
12/1/2020,1666855.9512112653,1662285.4446473557,1670950.1778959401
1/1/2021,1686523.942596365,1682575.8439769386,1690593.2147424973
2/1/2021,1705570.6530413565,1701388.9400015816,1709757.4946946371
3/1/2021,1717434.3204630024,1713234.9575946047,1721686.068323015
4/1/2021,1731581.6556285173,1727283.1581517975,1735998.1373762912
5/1/2021,1741190.8536647505,1737042.025856814,1745310.9326909606
6/1/2021,1754968.906752209,1750977.7861315103,1759257.3306790988
7/1/2021,1767056.057334562,1763004.0651850516,1771148.1786075651
8/1/2021,1779819.395619027,1775677.3065068498,1783738.7352089304
9/1/2021,1790029.3132629194,1786064.0512583177,1794131.0034070353
10/1/2021,1797843.0649782768,1793430.143250497,1801992.4047244038
