ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,yearly,yhat
6/1/2017,1371709.01,-1108363.967,3913533.842102258,1371709.01,1371709.01,15923.710436887572,1387632.7208428876
7/1/2017,1368790.6475567662,-960014.1506,3737470.4579566983,1368790.6475567662,1368790.6475567662,27422.462576545902,1396213.1101333122
8/1/2017,1365775.0059458914,-876280.7065,3700916.5135351704,1365775.0059458914,1365775.0059458914,15645.174472411463,1381420.1804183028
9/1/2017,1362759.355,-936952.5663,3718794.8776286454,1362759.355,1362759.355,332.4703836158624,1363091.825333656
10/1/2017,1359840.9830185713,-943935.9272,3812065.0222595246,1359840.9830185713,1359840.9830185713,941.8586626501683,1360782.8416812215
11/1/2017,1356825.332,-982534.2573,3773831.549213824,1356825.332,1356825.332,12427.720310523046,1369253.052333243
12/1/2017,1353906.992179597,-1001754.096,3762401.6677920474,1353906.992179597,1353906.992179597,10688.884900779041,1364595.877080376
1/1/2018,1350891.374341703,-984189.5421,4040991.712325948,1350891.374341703,1350891.374341703,13971.844783046034,1364863.219124749
2/1/2018,1347875.7565038092,-980995.8892,4102859.268865574,1347875.7565038092,1347875.7565038092,14515.114186964662,1362390.870690774
3/1/2018,1345151.993295158,-1054091.394,3804712.4195685997,1345151.993295158,1345151.993295158,17775.671977901384,1362927.6652730594
4/1/2018,1342136.3983141514,-1099180.069,3598776.3164186585,1342136.3983141514,1342136.3983141514,6331.719476082456,1348468.1177902338
5/1/2018,1339218.0805905967,-1142491.674,3726492.5135240355,1339218.0805905967,1339218.0805905967,4225.018704187655,1343443.0992947842
6/1/2018,1336202.5130678322,-965479.4735,3623455.7152976273,1336202.5130678322,1336202.5130678322,10647.454325483623,1346849.9673933159
7/1/2018,1333284.2219167699,-1172014.751,3650890.2611871907,1333284.2219167699,1333284.2219167699,22917.59804110119,1356201.819957871
8/1/2018,1330268.681841474,-833843.646,3599541.513620281,1330268.681841474,1330268.681841474,10630.473616770405,1340899.1554582445
9/1/2018,1327253.1417661784,-1062276.674,3527868.6698322436,1327253.1417661784,1327253.1417661784,5966.191502375816,1333219.3332685542
10/1/2018,1324335.589,-890310.4663,3618318.6061241054,1324335.589,1324335.589,7535.457297544088,1331871.045914614
11/1/2018,1321320.7836963248,-965516.0208,3695284.9160046433,1321320.7836963248,1321320.7836963248,14521.602798078133,1335842.386494403
12/1/2018,1318403.2305472165,-1123987.301,3705601.945529388,1318403.2305472165,1318403.2305472165,9878.943713,1328282.1742606275
1/1/2019,1315388.809740575,-973820.5247,3825486.0116184875,1315388.809740575,1315388.809740575,8190.3910287666895,1323579.2007693418
2/1/2019,1312374.3889339338,-1135520.978,3869600.017992067,1312374.3889339338,1312374.3889339338,-340.4546994,1312033.9342345437
3/1/2019,1309683.4469264478,-1043460.756,3698570.012571971,1309683.4469264478,1309683.4469264478,34311.27801035805,1343994.724936806
4/1/2019,1306704.1897038738,-1060380.026,3852723.7362339124,1306704.1897038738,1306704.1897038738,11313.593437522615,1318017.7831413965
5/1/2019,1303903.3189740577,-1037239.743,3681497.8987069805,1303903.3189740577,1303903.3189740577,3306.624102634649,1307209.9430766923
6/1/2019,1301009.0858865806,-1166409.69,3570772.7581426566,1301009.0858865806,1301009.0858865806,5243.914681421212,1306253.0005680018
7/1/2019,1298715.6462151231,-885930.2589,3620282.2330707274,1298715.6462151231,1298715.6462151231,18458.84685432917,1317174.4930694522
